id,type,initial_frame,detection_duration,lenght
270,truck,4782,1,192.93450927734372
271,truck,4809,5,152.705810546875
272,train,4852,10,404.3825378417969
273,car,4903,42,182.6856689453125
274,car,4910,48,171.76513671875
275,car,4941,24,146.9202880859375
276,truck,4950,15,198.9229736328125
277,train,4976,7,407.6033325195313
278,train,4988,26,388.1715698242188
279,train,4995,1,357.2751770019531
280,car,5016,19,141.01788330078125
281,car,5031,4,146.4493408203125
282,car,5049,49,132.6961669921875
283,car,5084,40,171.44532775878906
284,truck,5108,8,152.0601806640625
285,car,5115,17,134.50909423828125
286,truck,5122,18,173.07688903808594
287,train,5169,3,542.4742431640625
288,car,5171,3,130.88751220703125
289,car,5213,43,174.0181884765625
290,car,5236,52,130.21826171875
291,car,5249,55,144.32281494140625
292,car,5265,50,120.381103515625
293,truck,5305,20,306.6248779296875
294,truck,5305,1,234.12774658203125
295,bus,5316,2,215.1773681640625
296,bus,5330,51,313.1385498046875
297,car,5372,2,128.605224609375
298,truck,5398,24,203.97691345214844
299,car,5418,30,130.80584716796875
300,truck,5432,37,376.9037780761719
301,car,5466,26,130.6785888671875
302,car,5483,37,154.4735107421875
303,truck,5492,12,419.4089660644531
304,train,5526,17,602.2524108886719
305,car,5586,4,121.479248046875
306,truck,5592,4,155.37196350097656
307,bus,5606,6,405.8908386230469
308,truck,5656,44,425.7397766113281
309,train,5657,1,393.186279296875
310,car,5672,47,167.2208251953125
311,train,5711,8,400.32464599609375
312,train,5726,13,424.8464965820313
313,car,5753,52,157.3138427734375
314,car,5768,35,169.00425720214844
315,car,5768,4,122.85009765625
316,train,5773,1,257.9736328125
317,truck,5779,25,200.65283203125
318,truck,5805,10,399.206298828125
319,car,5847,30,118.8355712890625
320,truck,5857,10,184.3523101806641
321,car,5891,35,124.87139892578124
322,car,5902,49,185.3785400390625
323,car,5925,53,129.30426025390625
324,motorcycle,5954,7,65.8553466796875
325,car,5967,58,133.06243896484375
326,truck,5983,34,182.13287353515625
327,car,6017,3,122.876220703125
328,car,6019,20,120.4910888671875
329,car,6021,39,160.23980712890625
330,truck,6021,4,171.89208984375
331,car,6053,4,125.31024169921876
332,truck,6057,41,262.6568603515625
333,car,6060,51,199.64747619628903
334,car,6086,52,158.78855895996094
335,truck,6086,21,217.25048828125
336,car,6091,55,125.33135986328124
337,car,6112,42,134.6697998046875
338,car,6116,55,181.6583251953125
339,car,6139,51,123.793701171875
340,car,6144,36,143.5992431640625
341,truck,6149,28,150.8619384765625
342,truck,6154,33,254.6419677734375
343,car,6182,54,144.5426025390625
344,car,6200,49,163.75013732910156
345,car,6200,19,122.7586669921875
346,truck,6217,7,121.1556396484375
347,car,6241,1,117.56002807617188
348,car,6250,46,138.86865234375
349,car,6255,1,95.572509765625
350,truck,6262,39,296.7906494140625
351,car,6262,1,103.36474609375
352,bus,6291,30,326.406982421875
353,car,6308,52,157.40013122558594
354,car,6320,40,137.2274169921875
355,car,6331,50,123.9638671875
356,car,6386,49,125.6363525390625
357,car,6418,46,131.288818359375
358,truck,6445,41,386.04150390625
359,car,6487,3,169.9991455078125
360,car,6500,1,153.29029846191406
361,car,6509,16,158.42132568359375
362,truck,6517,30,400.8517150878906
363,car,6575,39,146.01123046875
364,motorcycle,6610,7,62.6898193359375
365,car,6625,49,164.68438720703125
366,car,6652,53,143.673095703125
367,car,6688,49,188.97569274902344
368,truck,6711,48,209.501220703125
369,car,6739,33,120.1741943359375
370,car,6768,30,143.6033935546875
371,truck,6818,5,170.2510986328125
372,car,6821,51,163.62567138671875
373,car,6853,52,175.2471923828125
374,car,6883,43,129.0535888671875
375,car,6890,36,146.27703857421875
376,car,6907,45,172.18589782714844
377,car,6916,48,156.9310302734375
378,car,6950,40,155.5830078125
379,truck,6951,13,204.80926513671875
380,train,6991,1,525.6240844726562
381,truck,7006,18,261.630859375
382,car,7073,24,133.2730712890625
383,car,7103,52,134.7862548828125
384,truck,7114,1,191.9490966796875
385,truck,7129,28,179.50128173828125
386,car,7143,37,117.49676513671876
387,car,7191,4,146.0628662109375
388,train,7205,10,398.70025634765625
389,car,7227,1,89.216796875
390,truck,7237,2,538.608154296875
